well_id,water_cut_fraction,MAIP_psi,required_injection_pressure_psi,porosity_fraction,permeability_md,TDS_mg_L,oil_in_water_ppm,TSS_mg_L,Ca_mg_L,SO4_mg_L,Ba_mg_L,Sr_mg_L,CRI,SRI,lithology,pH,temperature_C,GRSS,recommended_decision,main_reason
W01,0.135,6720,4462,0.275,654,2069,6.31,113.26,1515,252,0,133,20,49,sandstone,8.27,40.62,74.15,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.161,7760,4265,0.267,599,3975,9.92,91.64,1036,175,0,83,19.2,8.9,sandstone,8.33,43.18,77.02,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.209,7185,4850,0.272,745,901,12.22,36.51,1399,93,0,64,11.2,4.4,carbonate,8.15,35.59,83.54,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.19,7671,4838,0.274,692,4010,8.79,71.51,1352,32,0,113,17.1,0,sandstone,7.71,43.32,75.76,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.194,7309,4657,0.266,551,2233,5.24,47.5,1790,194,0,83,13.5,23.1,carbonate,7.96,39.29,83.86,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.199,7235,4284,0.262,600,4028,7.98,101.66,1341,253,0,113,20,31.2,shale,7.93,31.48,63.06,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.192,7382,4434,0.284,654,2942,9.83,45.81,1354,276,0,49,13.2,12.2,sandstone,8.03,40.65,88.78,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.211,7162,4654,0.282,768,2084,10.94,31.01,1140,292,0,116,17.7,49,sandstone,7.57,48.91,73.73,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.178,7780,4715,0.278,700,2918,12.08,94.28,1558,168,0,79,25.4,11.8,sandstone,7.72,47.95,72.38,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.237,7263,4373,0.256,572,1379,12.05,12.48,1773,5,0,112,3.8,0,sandstone,7.63,45.96,92.07,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.19,7116,4817,0.29,683,1429,9.11,29.28,1241,192,0,113,9.3,40.5,carbonate,7.88,42.8,87.93,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.212,7744,4850,0.259,659,1821,7.55,7.3,1274,224,0,89,0,33.7,sandstone,7.95,43.54,89.39,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.14,7226,4593,0.273,654,2580,8.58,45.29,1563,153,0,76,27.8,9.6,sandstone,7.86,52.35,70.17,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.169,7228,4674,0.269,614,1182,9.44,80.51,1420,130,0,120,24.6,32.5,sandstone,8.16,48.26,75.56,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.213,7147,4433,0.265,596,3653,12.91,103.59,1924,342,0,79,20.2,32.5,sandstone,8.07,45.09,75.51,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.2,6601,4719,0.287,574,3867,9.44,66.14,766,185,0,136,16.4,27.7,carbonate,7.99,38.73,75.55,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.179,7199,4329,0.281,649,1941,8.51,26.99,1497,184,0,99,9.2,29.6,sandstone,7.89,45.29,94.27,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.225,7116,4404,0.303,874,3230,10.13,41.38,1601,155,0,110,12.3,18.2,sandstone,8.24,36.86,90.86,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.197,6966,4797,0.275,641,2488,5.9,108.44,1527,315,0,72,28,33.4,sandstone,7.26,38.18,73.24,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.253,7780,4850,0.263,622,1601,6.81,72.8,1465,314,0,139,21.9,63.7,sandstone,7.71,47.31,73.93,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.248,7001,4432,0.287,620,2437,11.75,30.6,1395,345,0,126,9.7,55.5,carbonate,7.95,43.82,91.07,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.231,7237,4775,0.281,828,2250,7.06,20.15,1292,317,0,149,6.1,59.1,carbonate,8.11,44.02,70.54,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.19,7213,4414,0.27,702,1054,7.76,48.2,776,123,0,32,13.7,0,sandstone,7.82,41.69,76,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.216,7403,4330,0.272,719,1576,9.67,107.52,1210,155,0,58,20,9.6,shale,7.73,42.59,53.47,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.245,6558,4850,0.261,224,3543,7.59,61.57,1428,238,0,135,24.9,37.5,sandstone,8.03,49.54,71.89,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.219,7229,4677,0.266,680,1623,6.77,49.6,1562,218,0,75,21.4,29.3,sandstone,8.28,48.74,83.68,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.223,7126,4791,0.282,758,3954,8.46,22.4,1389,44,0,95,24.4,0,sandstone,8.21,53.7,86.1,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.187,7081,4351,0.293,705,2405,8.91,87,1083,251,0,127,48.8,44.5,sandstone,7.86,61.28,73.27,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.229,7199,4843,0.281,703,2562,13.13,20.2,769,281,0,148,21.8,52.2,carbonate,7.71,52.85,75.13,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.238,6899,4620,0.258,519,1920,10.46,178.22,1430,282,0,98,27.7,44.3,sandstone,7.27,42.16,73.95,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.23,7341,4319,0.293,905,2213,13.35,104.13,1404,53,0,87,20,0,sandstone,8.15,42.17,78.9,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.267,7276,4850,0.274,663,4944,6.6,52.23,1073,267,0,103,14.4,25.9,carbonate,7.75,38.95,70.92,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.236,7443,4850,0.262,615,3072,8.42,27.22,1712,81,0,153,8.7,8.5,carbonate,8.4,44.89,84.72,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.252,7253,4850,0.252,549,4635,10.61,118.13,1377,202,0,99,25.2,16.6,sandstone,7.66,47.61,71.45,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.264,7194,4850,0.284,639,3810,5.84,17.78,1168,154,0,128,5,19.9,sandstone,7.59,41.71,90.49,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.206,7522,4707,0.262,572,3089,9.28,20.38,737,129,0,147,12.9,22.6,sandstone,7.77,48.35,85.29,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.202,7347,4361,0.274,737,3470,10.22,115.55,925,156,0,119,22.2,19.7,sandstone,7.73,46.09,74.2,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.252,7384,4612,0.284,600,1578,11.5,38.78,699,111,0,101,11.8,16.9,shale,8.04,36.43,38.55,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.258,7624,4850,0.253,556,3246,11.16,87.71,974,71,0,102,18.9,0,carbonate,7.77,39.33,71.43,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.22,7377,4654,0.294,778,3380,10.57,83.71,1289,248,0,53,18.5,8.7,sandstone,7.83,43.06,70.99,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.285,7354,4850,0.288,739,2285,9.63,95.39,1986,243,0,104,19.6,38.8,sandstone,7.94,32.88,75.91,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.224,7041,4841,0.253,592,3767,8.5,40.46,1507,248,0,137,23.7,38.2,sandstone,7.87,50.77,71.24,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.239,7108,4746,0.249,569,1217,11.27,83.08,1162,201,0,68,18.4,27.7,sandstone,7.86,40.23,71.77,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.231,7172,4378,0.265,212,2200,9.09,62.47,1571,179,0,105,15.9,28.5,shale,8.07,37.27,42.91,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.245,6837,4772,0.271,624,3051,10.48,47.66,1382,228,0,111,43.6,32.4,sandstone,8.03,64.73,77.39,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.216,6697,4648,0.272,634,1586,10.91,44.43,1931,223,0,80,33.5,33.8,carbonate,7.89,55.26,83.26,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.22,7678,4313,0.254,560,1364,8.21,21.42,783,208,0,128,6.6,48.1,sandstone,7.63,40.52,77.54,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.247,7252,4850,0.265,583,2785,24.51,54.44,763,44,0,81,14.7,0,carbonate,7.97,41.93,70.86,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.253,7219,4726,0.282,730,2052,10.35,32.96,867,67,0,152,20.7,9.3,sandstone,8.4,50.16,94.69,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.299,7185,4850,0.283,739,1822,4.73,82.07,1542,269,0,80,25.5,37.2,carbonate,8.18,48.62,74.22,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.232,7279,4365,0.264,636,3500,11.54,19.84,837,40,0,80,36,0,sandstone,8.35,64.97,94.7,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.275,7584,4850,0.249,596,1674,8.48,24.67,1659,178,0,61,14.3,14.9,sandstone,7.82,48.22,89.86,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.252,6520,4850,0.271,726,1172,6.84,88.7,1194,159,0,177,19,52.3,sandstone,8.1,45.03,76.65,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.253,6893,4850,0.272,734,1982,6.26,107.57,919,298,0,127,20,53.6,sandstone,7.62,40.9,70.35,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.242,7530,4439,0.277,588,3586,10.06,39.41,1158,352,0,48,11.9,15.9,carbonate,8.09,39.92,85.68,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.236,7442,4647,0.277,216,1981,11.26,47.57,1000,98,0,87,13.5,4,carbonate,8.05,43.32,83.56,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.253,7016,4160,0.289,689,3086,9.53,8.32,1189,105,0,59,14.8,0,sandstone,8.22,52.41,85.85,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.313,7364,4308,0.291,824,2831,12.15,31.37,1157,120,0,140,9.9,20.2,sandstone,8.3,45,83.54,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.305,6950,4630,0.287,693,3418,5.97,9.6,956,197,0,82,0,15.3,carbonate,8.07,34.06,86.13,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.234,6807,4170,0.278,512,4009,7.97,36.3,1476,234,0,102,32.3,25.3,shale,8.14,55.54,44.5,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.273,7411,4593,0.258,659,2616,6.69,62.45,821,146,0,58,15.9,0,sandstone,7.99,35.11,70.58,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.263,7156,4767,0.255,593,1000,26.25,107.86,1678,195,0,80,20,36.1,sandstone,7.94,27.97,76.23,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.315,7105,4751,0.263,529,4957,8.09,150.89,1683,146,0,137,27.2,15.3,sandstone,8.28,48.6,75.1,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.236,7631,4237,0.289,736,3088,11.3,37,1008,162,0,52,33.5,0,carbonate,8.12,56.06,72.39,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.318,7254,4850,0.288,767,1293,11.99,8.91,1223,247,0,107,30,48.8,sandstone,7.83,61.52,88.8,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.272,6736,4586,0.269,685,1382,8.19,107.48,1303,182,0,97,20,34.2,sandstone,7.8,43.33,70.85,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.244,6676,4265,0.279,673,1803,10.15,56.41,1306,117,0,76,15,7,sandstone,8.04,42.94,75.18,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.247,7249,4167,0.262,475,2022,8.03,46.97,1313,227,0,89,22.2,32.4,sandstone,8,49.37,94.08,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.298,7360,4367,0.272,635,2100,12.36,116.18,998,216,0,106,33.2,35.9,sandstone,7.86,51.59,72.87,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.321,7523,4692,0.272,630,1337,6.78,13.82,1461,209,0,100,8,40.5,shale,7.64,47.61,53.36,Injection not suitable,"Injection is not suitable because shale sensitivity, low injectivity, or pressure limits make the interval unsafe."
W01,0.268,7263,4639,0.269,598,806,8,8.46,1874,86,0,117,0,23.4,sandstone,7.64,41.05,83.71,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.271,7350,4184,0.268,625,1271,6.53,99.55,1118,228,0,106,20,46,carbonate,8.29,34.62,76.45,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.272,6644,4609,0.271,642,5228,11.01,276.03,893,255,0,128,20,30.6,sandstone,9.28,37.73,64.34,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.333,6529,4850,0.283,676,2427,9.28,22.14,1182,128,0,107,12,16.2,sandstone,7.92,47.53,84.38,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.279,7256,4850,0.274,681,2399,10.56,15.68,1563,103,0,143,3.9,18.8,sandstone,7.93,40.96,89.62,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.302,7100,4738,0.282,552,3547,11.93,47.95,1183,139,0,100,14.7,9.6,sandstone,8.13,45.53,82.26,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.273,7272,4270,0.281,635,1525,5.33,82.3,1712,123,0,83,18.3,14.4,sandstone,7.59,40.61,77.46,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.3,6866,4207,0.289,717,1612,11.1,35.46,1587,218,0,91,11,35.9,sandstone,8.14,42.52,82.06,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.27,7223,4725,0.29,718,2549,7.73,157.22,1013,326,0,128,20.3,52.4,sandstone,7.49,36.09,76.1,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.318,7356,4648,0.283,699,2201,11.45,167.07,1353,148,0,139,50,31.5,sandstone,8.13,66.85,72.43,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.283,7288,4612,0.266,573,2336,7.77,31.11,1565,202,0,100,9.9,29.8,sandstone,8.37,31.96,91.56,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.245,7129,4265,0.273,665,1534,11.53,106.29,1058,96,0,108,41.5,14.8,sandstone,7.9,55.76,78.66,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.323,7068,4850,0.277,649,2103,12.14,26.41,1825,160,0,96,21,22.6,carbonate,7.75,51.27,85.23,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.254,7338,4819,0.287,749,2303,10.75,227.62,1387,32,0,116,29.7,0,carbonate,8.06,49.84,68.64,Disposal,"Even with carbonate injectivity potential, the current pressure or quality indicators do not support safe reinjection."
W01,0.273,7298,4477,0.253,578,1315,7.49,57.98,1365,311,0,132,15.3,64.9,carbonate,8.21,40.97,75.33,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.304,7780,4572,0.249,582,2302,9.24,42.03,1424,267,0,129,37.5,47.8,sandstone,8.07,57.5,89.44,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.345,7248,4850,0.253,517,1437,5.84,106.17,1224,227,0,129,20.7,50.4,sandstone,8.06,45.36,72.01,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.32,7474,4572,0.287,661,1969,9.37,70.89,856,234,0,114,25.2,42.1,sandstone,8.32,49.1,78.57,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.322,7058,4850,0.287,697,3701,11.4,115.13,1057,157,0,111,37.5,16.3,sandstone,7.85,53.74,74.02,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.296,7066,4256,0.272,706,178,42.22,174.18,1148,5,0,90,20,0,carbonate,8.27,39.96,77.62,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.268,7499,4485,0.27,689,3178,8.91,248.97,1180,171,0,124,20,25.8,sandstone,8.39,44.2,70.49,Disposal,Current sandstone case does not meet the combined quality and operability requirements for reinjection.
W01,0.251,7625,4245,0.266,543,2822,9.44,9.07,1044,251,0,82,0,27,sandstone,7.87,34.44,85.87,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.309,7422,4215,0.282,684,1376,7.5,119.29,1432,58,0,152,20,11.2,sandstone,7.94,33.58,77.32,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.309,6811,4542,0.281,642,1782,4.45,28.1,1117,182,0,126,9,38.8,carbonate,7.9,40.62,87.15,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.319,7106,4850,0.272,667,2268,9.89,96.52,1090,227,0,138,30.7,44.9,sandstone,8.13,50.49,77.93,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.267,6685,4172,0.266,690,1999,23.71,123.78,1317,158,0,152,50,38.3,carbonate,8.13,77.11,75.23,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.326,7163,4527,0.271,609,2645,8.03,44.96,854,171,0,101,13.1,22.3,carbonate,7.83,37.82,93.46,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.29,7572,4473,0.284,715,2765,7.93,56.83,800,332,0,108,15.1,45.8,carbonate,8.07,33.62,76.23,Treat then inject,"Carbonate zone is potentially injectable, but treatment is recommended first to control scale and compatibility risk."
W01,0.303,7112,4850,0.294,793,2148,8.25,38.6,1221,68,0,48,22.2,0,sandstone,8.02,50.23,76.53,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.303,6549,4470,0.267,634,3002,6.68,111.82,1510,306,0,58,20,21,sandstone,7.82,42.09,74.51,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.326,7326,4552,0.267,558,2666,12.88,82.46,1784,198,0,135,36.8,36.7,sandstone,8.11,54.22,78.6,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.316,7123,4696,0.26,600,2622,10.22,27.02,1200,300,0,68,8.6,28,sandstone,7.71,41.06,90.37,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.371,7168,4850,0.278,732,1848,7.48,24.91,979,147,0,110,7.9,26.5,sandstone,8.36,40.1,73.81,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.349,7470,4850,0.281,748,2076,6.93,7.98,1258,194,0,130,20.5,39.3,sandstone,8.01,55.23,89.88,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.373,7757,4707,0.273,647,3649,9.33,60.34,1054,238,0,117,15.6,32.2,carbonate,8.26,43.98,82.25,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
W01,0.329,6937,4850,0.273,697,1473,9.71,7.01,1223,202,0,155,23,52.3,sandstone,8.15,56.5,85.92,Inject,"Sandstone interval is pressure-safe and water quality is within operating range, allowing direct injection."
W01,0.325,7229,4518,0.283,746,2137,8.54,25.25,1869,160,0,67,8,10.3,sandstone,7.67,43.39,75.94,Treat then inject,Water can be injected after treatment to reduce quality-related fouling or formation-damage risk in sandstone.
W01,0.331,7271,4379,0.278,598,4063,9.35,6.06,1296,150,0,117,2.1,14.8,carbonate,7.83,46.03,85.77,Inject,"Carbonate interval remains pressure-safe with acceptable quality and injectivity, so direct injection is feasible."
